"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"100 Bourne Morton Drive","1-6749587918","","Amoo-Gottfried, Julie, Mrs","10091532243","01642214497","www.sunburstcareservices.com","Stockton-on-Tees","North East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-04-18","","N","","4/18/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Physical disabilities","","More than 5 years but less than 8 years","","","","","","Sunburst Services Ltd","1-6354019401","4/18/2019 12:00:00 AM","6","Organisation","11450261","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"100 Goldstone Crescent","1-9649169367","","Braithwaite, Sara Ann, Miss","22030174","01273553718","www.achievetogether.co.uk","Brighton and Hove","South East (ADASS Region)","Community based adult social care services","Supported living service","0","2020-11-26","","N","Good","11/26/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","","More than 5 years but less than 8 years","Good","Good","Good","Good","Requires improvement","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"101 Brook Street","1-2083541387","","","100020226096","","","Bexley","Greater London (ADASS Region)","Residential social care","Care home service without nursing","6","2015-09-25","","N","Requires improvement","9/25/2015 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Requires improvement","Requires improvement","Good","Requires improvement","Requires improvement","Ambient Support Limited","1-102643235","10/1/2010 12:00:00 AM","15","Organisation","07211819","58","More than 50 locations","579","0.06","21","14.00%","BRAND Heritage Care","BD152","68","More than 50 locations","624","0.07","21","14.00%"
"101 Cheam Road","1-9654205805","","Marshall, Claudine Adicia, Miss","5870030911","02086420307","www.achievetogether.co.uk","Sutton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","7","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"101 Healthcare Ltd","1-12941557120","","Senyah, Alex, Mr","100071556048","01902283101","www.101healthcare.co.uk","Wolverhampton","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2022-05-06","","N","","5/6/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 3 years but less than 5 years","","","","","","101 Healthcare Ltd","1-12470903965","5/6/2022 12:00:00 AM","3","Organisation","11010057","1","1 location","0","0","1","1.00%","","","","","","0","",""
"101 Royal Hill","1-159367994","","Pinnock, Angela Amanda, Ms","10010220181","02086943652","","Greenwich","Greater London (ADASS Region)","Residential social care","Care home service without nursing","7","2011-03-16","","N","Good","3/16/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","London Borough of Greenwich","1-101642042","3/16/2011 12:00:00 AM","14","Organisation","","13","11 - 20 locations","40","0","1","1.00%","","","","","","0","",""
"102 Faircross Avenue","1-13597480351","","Mohammad, Shakir, Mr","100055462","02037151904","","Barking and Dagenham","Greater London (ADASS Region)","Residential social care","Care home service without nursing","3","2022-09-22","","N","Good","9/22/2022 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Prudent Care Homes Limited","1-13513346312","9/22/2022 12:00:00 AM","3","Organisation","11030701","2","2 - 5 locations","8","0","1","1.00%","","","","","","0","",""
"104 Belle Vue Road","1-11301722315","","Berntsen, Amy Louise, Miss","100062461132","07460858811","www.flexibeaucare.co.uk","Hampshire","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2021-08-12","","N","Good","8/12/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Flexibeau Care Limited","1-10687147478","8/12/2021 12:00:00 AM","4","Organisation","12091454","1","1 location","0","0","1","1.00%","","","","","","0","",""
"104 Tennyson Road","1-108827793","","Smyth, Daniel John, Mr","100080178638","01582418858","","Luton","East (ADASS Region)","Residential social care","Care home service without nursing","8","2011-04-18","","N","Good","4/18/2011 12:00:00 AM","Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","G Plane and Miss D Newman","1-101696777","10/1/2010 12:00:00 AM","15","Partnership","","2","2 - 5 locations","20","0","1","1.00%","","","","","","0","",""
"109 Grange Road","1-1437671372","","Mugayi, Sharon, Ms","10024264548","01213829026","","Birmingham","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","5","2014-06-06","","N","Good","6/6/2014 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"110 Exeter Street","1-16466023134","","Mhlanga Wasarirevu, Charity, Mrs","200001163185","","","Staffordshire","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2023-07-20","","N","","7/20/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities","","More than 1 year but less than 3 years","","","","","","Lorac Care Ltd","1-15861660935","7/20/2023 12:00:00 AM","2","Organisation","14619390","1","1 location","0","0","1","1.00%","","","","","","0","",""
"110 West Street Care Home","1-130525405","","Teague, Natasha Anne Rachel, Mrs","10013669769","02392498333","","Hampshire","South East (ADASS Region)","Residential social care","Care home service without nursing","15","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Hampshire County Council","1-101663766","10/1/2010 12:00:00 AM","15","Organisation","","50","21 - 50 locations","1530","0.17","2","1.00%","BRAND Hampshire County Council","BD272","50","21 - 50 locations","1530","0.17","2","1.00%"
"111 Rosebank Avenue","1-8439533552","","Adomakoh, Albert, Mr","202051257","","","Brent","Greater London (ADASS Region)","Residential social care","Care home service without nursing","4","2020-07-01","","N","Good","7/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Requires improvement","Good","Advent Care Solutions Ltd","1-2159593662","8/8/2017 12:00:00 AM","8","Organisation","09251393","3","2 - 5 locations","7","0","1","1.00%","","","","","","0","",""
"117A Island Business Centre","1-12719476425","","Fowowe, Alfred Adekunle, Mr","10010229815","02088548217","","Greenwich","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2022-05-11","","N","Good","5/11/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Gold Achievers Care Ltd","1-12443573495","5/11/2022 12:00:00 AM","3","Organisation","13266080","1","1 location","0","0","1","1.00%","","","","","","0","",""
"118 Widmore Road","1-10858801772","","","100020420066","02084643920","www.ambient.org.uk","Bromley","Greater London (ADASS Region)","Residential social care","Care home service without nursing","10","2021-05-13","","N","Good","5/13/2021 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Ambient Support Limited","1-102643235","10/1/2010 12:00:00 AM","15","Organisation","07211819","58","More than 50 locations","579","0.06","21","14.00%","BRAND Heritage Care","BD152","68","More than 50 locations","624","0.07","21","14.00%"
"12 Channel Lea","1-1435221672","","Howe, Charlee Francesca, Miss","100060888191","01304367131","www.voyagecare.com","Kent","South East (ADASS Region)","Residential social care","Care home service without nursing","3","2014-06-03","","N","Good","6/3/2014 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"12 Church Avenue Harrogate","1-9790438546","","Houston, David Anthony, Mr","100050387148","","","North Yorkshire","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","6","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Homes Together Limited","1-101640445","10/1/2010 12:00:00 AM","15","Organisation","05091920","12","11 - 20 locations","78","0.01","2","1.00%","","","","","","0","",""
"12 Collett Close","1-7928051892","","Ndlovu, Ndabezinhle, Mr","90009103","07990863648","www.sanctuaryltdcare.org","Dudley","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","4","2020-01-13","","N","Requires improvement","1/13/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 5 years but less than 8 years","Requires improvement","Requires improvement","Requires improvement","Requires improvement","Requires improvement","Sanctuary Ltd","1-7574746802","1/13/2020 12:00:00 AM","6","Organisation","10313808","1","1 location","4","0","1","1.00%","","","","","","0","",""
"12 The Slieve","1-22205438189","","Chichera, Raphael, Mr","100070537918","","","Birmingham","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2025-04-10","","N","","4/10/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","","","","","","","","Crestos Care Ltd","1-13005900978","3/2/2023 12:00:00 AM","2","Organisation","13954746","2","2 - 5 locations","2","0","2","1.00%","","","","","","0","",""
"12/13 Church Walk","1-9518157089","","Mangutha-Mwaura, Jane Wanjiru, Mrs","10002817444","01225251280","","Wiltshire","South West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2020-09-16","","N","Good","9/16/2020 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Care Choice + Ltd","1-8483788699","9/16/2020 12:00:00 AM","5","Organisation","11935776","1","1 location","0","0","1","1.00%","","","","","","0","",""
"120 Furber Road","1-118415313","","Allman, Stephen Eric, Mr","104569","01179352157","www.milestonestrust.org.uk","Bristol","South West (ADASS Region)","Residential social care","Care home service without nursing","5","2010-11-11","","N","Good","11/11/2010 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Milestones Trust","1-101649874","10/1/2010 12:00:00 AM","15","Organisation","02011021","67","More than 50 locations","628","0.07","6","4.00%","BRAND Milestones Trust","BD282","67","More than 50 locations","628","0.07","6","4.00%"
