Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"Bedfordshire, Buckinghamshire and Milton Keynes","Bletchley Business Campus, Unit C108, Barton Road","Water Eaton, Bletchley",Milton Keynes,,MK2 3HU,01908787940,1-15126086868,1-20709956012,,Milton Keynes,South East,,https://www.cqc.org.uk/location/1-20709956012,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Choice Support
"Berrylands Surgery, Surbiton Health Centre",Ewell Road,,Surbiton,Surrey,KT6 6EZ,02083996362,1-199746702,1-2192691575,https://www.berrylandssurgery.nhs.uk,Kingston upon Thames,London,2016-04-01T00:00:00Z,https://www.cqc.org.uk/location/1-2192691575,,Services for everyone,"Doctors/GPs,Doctors/GPs",Canbury Medical Centre
"Blackpool North, Cleveleys and Fleetwood Home Instead",6 Brighton Avenue,,Thornton-cleveleys,,FY5 2AA,01253200770,1-1213766404,1-1320934527,https://www.homeinstead.co.uk/blackpoolandwyre,Lancashire,North West,2018-04-19T00:00:00Z,https://www.cqc.org.uk/location/1-1320934527,,"Sensory impairments,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Blackpool & Wyre Hi Limited
"Bliss, The Chelsea Clinic for Women & Children",270 Fulham Road,,London,,SW10 9EW,02071238905,1-20628648065,1-22144502697,,Kensington and Chelsea,London,,https://www.cqc.org.uk/location/1-22144502697,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs",Bliss Medical Chambers Ltd
"Blisscare & NA, UK Ltd",112 Breck Road,Anfield,Liverpool,,L4 2RD,,1-18878434890,1-21351340433,,Liverpool,North West,,https://www.cqc.org.uk/location/1-21351340433,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,"Blisscare & NA, UK Ltd"
"Blisscare & NA, UK Ltd",Anfield Business Centre,58 Breckfield Road South,Liverpool,Merseyside,L6 5DR,03302368738,1-18878434890,,https://www.blisscareagency.com,Liverpool,North West,,https://www.cqc.org.uk/provider/1-18878434890,Blisscare & Nursing Agency,Personal care,Organisation,"Blisscare & NA, UK Ltd"
"Bluebird Care (Bristol, Bath & N E Somerset)",Avon House,"Avon Mill Lane, Keynsham",Bristol,,BS31 2UG,01179505855,1-438294796,1-17968196535,https://www.bluebirdcare.co.uk/bristol/www.bluebirdcare.co.uk/bath,Bath and North East Somerset,South West,2025-05-19T09:00:00Z,https://www.cqc.org.uk/location/1-17968196535,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Clarity Bristol Ltd
"Bluebird Care (Cheltenham, Gloucester & Tewkesbury)",The Island,,Gloucester,Gloucestershire,GL1 2RU,01452414952,1-101644562,1-126920923,https://www.bluebirdcare.co.uk,Gloucestershire,South West,2019-11-20T00:00:00Z,https://www.cqc.org.uk/location/1-126920923,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Mutual Benefit Care Limited
"Bluebird Care (Chorley, Ormskirk and Leyland)",111 Church Road,Tarleton,Preston,,PR4 6UP,01772356186,1-10257261715,1-11011592454,https://bluebirdcare.co.uk/chorley-ormskirk-leyland,Lancashire,North West,2023-01-05T00:00:00Z,https://www.cqc.org.uk/location/1-11011592454,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,June Bowers Ltd
"Bluebird Care (Epsom, Kingston & Sutton)","Unit E, Blenheim House",1 Blenheim Road,Epsom,Surrey,KT19 9AP,02086445161,1-119231783,1-369537027,https://www.bluebirdcare.co.uk,Surrey,South East,2023-07-12T00:00:00Z,https://www.cqc.org.uk/location/1-369537027,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Bayford New Horizons Limited
"Bluebird Care (Guildford, Godalming and Surrey Health)",Lion House,147 Oriental Road,Woking,,GU22 8AR,01483761000,1-17431228993,1-18289338430,https://www.bluebirdcare.co.uk,Surrey,South East,,https://www.cqc.org.uk/location/1-18289338430,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Homecare agencies,EdMay Ltd
"Bluebird Care (Leicester, Hinckley, Bosworth and Blaby)",80a Hinckley Road,,Leicester,Leicestershire,LE3 0RD,01162171405,1-205416415,1-2149482237,https://www.bluebirdcare.co.uk/leicester,Leicester,East Midlands,2019-04-30T00:00:00Z,https://www.cqc.org.uk/location/1-2149482237,,"Sensory impairments,Services for everyone,Dementia,Learning disabilities,Physical disabilities",Homecare agencies,Esha Home Help Ltd
"Bluebird Care (Maidstone, Tonbridge & Royal Tunbridge Wells)",47 The Terrace,,Gravesend,,DA12 2DL,01622618786,1-131465019,1-159640070,https://www.bluebirdcare.co.uk,Kent,South East,2019-04-24T00:00:00Z,https://www.cqc.org.uk/location/1-159640070,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Ampi Limited
"Bluebird Care (Reading, Wokingham, Windsor, Maidenhead, Bracknell)",Centrum House,"Headley Road, Woodley",Reading,Berkshire,RG5 4JB,01189863552,1-101688453,1-4479270664,https://www.bluebirdcare.co.uk,Wokingham,South East,2019-02-22T00:00:00Z,https://www.cqc.org.uk/location/1-4479270664,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,TM Care Limited
"Bluebird Care (Westminster, Kensington & Chelsea)",77 Ashmill Street,,London,,NW1 6RA,02079766163,1-489387067,1-2120838566,https://www.bluebirdcare.co.uk/westminster,Westminster,London,2018-04-19T00:00:00Z,https://www.cqc.org.uk/location/1-2120838566,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Zocalo Limited
"Bluebird Care Alton, Petersfield & Havant",6 Rotherbrook Court,Bedford Road,Petersfield,,GU32 3QG,01730262578,1-361087449,1-6253159171,https://www.bluebirdcare.co.uk/petersfield-havant,Hampshire,South East,2020-04-07T00:00:00Z,https://www.cqc.org.uk/location/1-6253159171,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Belrose Limited
"Bluebird Care Burnham, Gerrards Cross & High Wycombe",31 Summers Road,Burnham,Slough,Berkshire,SL1 7EP,01628605797,1-131465435,1-816852841,https://www.bluebirdcare.co.uk/southbucks,Buckinghamshire,South East,2017-10-18T00:00:00Z,https://www.cqc.org.uk/location/1-816852841,Birch Assist Limited,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Homecare agencies,Birch Assist Limited
"Bluebird Care Canterbury, Thanet, Folkestone and Dover",The Archive Centre,Honeywood Road,Dover,,CT16 3EH,01843250638,1-101686916,1-113078318,https://www.bluebirdcare.co.uk,Kent,South East,2019-07-17T00:00:00Z,https://www.cqc.org.uk/location/1-113078318,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities","Homecare agencies,Supported living",Care and Training Services Limited
"Bluebird Care Docklands, Stratford and Wapping",Unit 8 Skylines Village,Limeharbour,London,,E14 9TS,02085193886,1-3608062606,1-3742923749,https://www.bluebirdcare.co.uk/docklands-stratford-wapping,Tower Hamlets,London,2018-08-24T00:00:00Z,https://www.cqc.org.uk/location/1-3742923749,,"Sensory impairments,Services for everyone,Dementia,Learning disabilities,Mental health conditions,Physical disabilities",Homecare agencies,Calistaa Limited
"Bluebird Care South Tyneside, Newcastle and Darlington","1st Floor, Unit 3, The Bulrushes","Woodstock Way, Boldon Business Park",Boldon Colliery,Tyne And Wear,NE35 9PE,01915194825,1-287140284,1-2131312470,https://www.bluebirdcare.co.uk,South Tyneside,North East,2019-10-24T00:00:00Z,https://www.cqc.org.uk/location/1-2131312470,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,D. J. Haswell Limited
"Bluebird Care Stamford, Rutland, Peterborough & Oundle",16 Wharf Road,,Stamford,Lincolnshire,PE9 2EB,01780480881,1-288758243,1-1733857331,https://www.bluebirdcare.co.uk/stamford-rutland,Lincolnshire,East Midlands,2018-11-09T00:00:00Z,https://www.cqc.org.uk/location/1-1733857331,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Mason Thomas Limited
"Bluebird Care Wandsworth, Putney and Battersea",5 College Mews,,London,,SW18 2SJ,02088774950,1-346589742,1-2216119816,,Wandsworth,London,2022-07-02T00:00:00Z,https://www.cqc.org.uk/location/1-2216119816,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Corden Assist Limited
"Bluebird Care Winchester, Eastleigh & Romsey",Calford House,"Wessex Business Park, Wessex Way, Colden Common",Winchester,Hampshire,SO21 1WP,01962856900,1-361087449,1-2950321839,https://www.bluebirdcare.co.uk,Hampshire,South East,2025-05-15T13:06:53Z,https://www.cqc.org.uk/location/1-2950321839,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Belrose Limited
"Bluebird Care, Newmarket and Fenland",Avro House,"Unit 49, Lancaster Way Business Park",Ely,,CB6 3NW,01638718855,1-991376561,1-1041108285,https://www.bluebirdcare.co.uk/newmarket-fenland/home,Cambridgeshire,East,2020-11-13T00:00:00Z,https://www.cqc.org.uk/location/1-1041108285,Used to be Bluebird Care with no comma,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Verafrank Aji Limited
"Body&Soul Assistance, Admin.",58 Storiths Court,Addingham,Ilkley,West Yorkshire,LS29 0NZ,07976684386,1-101686925,1-2383823340,,Bradford,Yorkshire & Humberside,2024-03-08T00:00:00Z,https://www.cqc.org.uk/location/1-2383823340,,"Services for everyone,Dementia,Physical disabilities",Homecare agencies,Body & Soul Assistance Limited
"Bournemouth, Christchurch & Poole Council (BCP)",Town Hall,Bourne Avenue,Bournemouth,Dorset,BH2 6DY,01202123456,1-6487034000,,,"Bournemouth, Christchurch and Poole",South West,,https://www.cqc.org.uk/provider/1-6487034000,,Personal care,Organisation,"Bournemouth, Christchurch & Poole Council (BCP)"
"Brandon Trust Supported Living - Trident Business Centre, Tooting",89 Bickersteth Road,Tooting,London,,SW17 9SH,01452886307,1-101639606,1-4305903260,https://www.brandontrust.org,Wandsworth,London,2024-06-12T09:00:00Z,https://www.cqc.org.uk/location/1-4305903260,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Supported living,The Brandon Trust
"Brazaitis, Brazaitiene and Cerowski",163 Peel House Lane,,Widnes,Cheshire,WA8 9UH,01514242777,1-1176704350,,,Halton,North West,,https://www.cqc.org.uk/provider/1-1176704350,Farnworth Dental,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Brazaitis, Brazaitiene and Cerowski"
"Brockley, London",95 Ewhurst Road,"Crofton Park, Brockley",London,,SE4 1SD,,1-8412572257,1-9595952459,https://www.philipsqualitycaresevices.com,Lewisham,London,2022-09-07T00:00:00Z,https://www.cqc.org.uk/location/1-9595952459,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Philip's Quality Care Services Limited
"Broomside Lane, Belmont,",Broomside Lane,,Durham,County Durham,DH1 2QW,,1-2295586652,1-17128538349,,County Durham,North East,,https://www.cqc.org.uk/location/1-17128538349,Central Durham GP Providers Limited,Services for everyone,"Doctors/GPs,Doctors/GPs",Central Durham GP Providers Limited
"Browns Case Management Ltd, Head Office",20a High Street,Standish,Wigan,,WN6 0HL,01257686070,1-10331514442,1-14450589556,https://www.brownscasemanagement.com,Wigan,North West,,https://www.cqc.org.uk/location/1-14450589556,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Mental health conditions,Physical disabilities",Homecare agencies,Browns Case Management Ltd
"Bryant, Yates, Preddy and Shahi",Bupa Dental Care Support Centre,"Vantage Office Park, Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,01454771596,1-5443022072,,,South Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-5443022072,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Bryant, Yates, Preddy and Shahi"
"Bupa - Coniston Way, Cannock",1 Coniston Way,,Cannock,Staffordshire,WS11 1DT,01543502268,1-152953749,1-199554963,https://www.conistonhousedental.co.uk,Staffordshire,West Midlands,2018-10-05T00:00:00Z,https://www.cqc.org.uk/location/1-199554963,,Services for everyone,Dentist,Oasis Dental Care Limited
"Bupa - High Street, Knaphill",112 High Street,Knaphill,Woking,Surrey,GU21 2QH,08445769439,1-152996025,1-212979074,https://www.apex-dental.co.uk,Surrey,South East,2015-10-15T00:00:00Z,https://www.cqc.org.uk/location/1-212979074,,Services for everyone,Dentist,Apex Dental Care Limited
"Bupa - Ipswich Road, Colchester",316 Ipswich Road,,Colchester,Essex,CO4 0ET,01206844242,1-152960004,1-189837650,,Essex,East,2013-03-16T00:00:00Z,https://www.cqc.org.uk/location/1-189837650,,Services for everyone,Dentist,Highwoods And St Johns Limited
"Bupa - Kenworthy Street, Stalybridge",1 Kenworthy Street,,Stalybridge,Cheshire,SK15 2DX,01613038767,1-152955249,1-3209175158,,Tameside,North West,2018-10-16T00:00:00Z,https://www.cqc.org.uk/location/1-3209175158,,Services for everyone,Dentist,Xeon Smiles UK Limited
"Bupa - Orford Avenue, Warrington",46-48 Orford Avenue,Orford,Warrington,Cheshire,WA2 7QJ,01925651418,1-152953749,1-199554738,https://www.warringtondental.co.uk,Warrington,North West,2014-02-01T00:00:00Z,https://www.cqc.org.uk/location/1-199554738,,Services for everyone,Dentist,Oasis Dental Care Limited
"Bupa - St Anns Square, Manchester",14 St Ann's Square,,Manchester,,M2 7HQ,01618342627,1-152953749,1-1901221940,,Manchester,North West,,https://www.cqc.org.uk/location/1-1901221940,,Services for everyone,Dentist,Oasis Dental Care Limited
"Bupa - Upper Richmond Road, Putney",141 Upper Richmond Road,,London,,SW15 2TX,02087883848,1-1734977880,1-1798132637,,Wandsworth,London,2016-04-15T00:00:00Z,https://www.cqc.org.uk/location/1-1798132637,,Services for everyone,Dentist,One 4 One Partnership
"Bupa Dental Care - Gloucester, Painswick Road",208 Painswick Road,,Gloucester,Gloucestershire,GL4 4PH,01452304800,1-152955249,1-6101488578,,Gloucestershire,South West,,https://www.cqc.org.uk/location/1-6101488578,,Services for everyone,Dentist,Xeon Smiles UK Limited
"Bupa Dental Care - Gloucester, Painswick Road",208 Painswick Road,,Gloucester,Gloucestershire,GL4 4PH,01452304800,1-5846760320,1-19899169930,,Gloucestershire,South West,,https://www.cqc.org.uk/location/1-19899169930,,Services for everyone,Dentist,Painswick Road Partnership
"Bupa Dental Care Bolton - Chorley Old Road	",530 Chorley Old Road,,Bolton,Greater Manchester,BL1 6AB,01204843196,1-152953759,1-1783491942,,Bolton,North West,2018-01-05T00:00:00Z,https://www.cqc.org.uk/location/1-1783491942,,Services for everyone,Dentist,Oasis Dental Care (Central) Limited
"Bupa Dental Care Clock Tower, Ripon","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,01765602161,1-473863956,,https://www.clocktowerdentalcare.co.uk,South Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-473863956,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,"Bupa Dental Care Clock Tower, Ripon"
"Bupa Dental Care Dalston		",7 The Square,,Dalston,Cumbria,CA5 7PJ,01228711272,1-152953759,1-580301041,,Cumberland,North West,2024-05-08T00:00:00Z,https://www.cqc.org.uk/location/1-580301041,,Services for everyone,Dentist,Oasis Dental Care (Central) Limited
"Bupa Dental Care Diamond House, Summertown",199 Banbury Road,,Oxford,Oxfordshire,OX2 7AR,01865559521,1-153021180,1-212224912,https://www.diamondhouse.co.uk,Oxfordshire,South East,2013-07-18T00:00:00Z,https://www.cqc.org.uk/location/1-212224912,,Services for everyone,Dentist,Diamond House Dental Practice Limited
"Bupa Dental Care Folkestone, Sandgate Road",92 Sandgate Road,,Folkestone,Kent,CT20 2BE,01303255559,1-152955249,1-7383382781,,Kent,South East,,https://www.cqc.org.uk/location/1-7383382781,,Services for everyone,Dentist,Xeon Smiles UK Limited
"Bupa Dental Care Ladybridge, Bolton",48 Wigan Road,Deane,Bolton,Lancashire,BL3 5PZ,0120464028,1-152949115,1-187548040,https://www.freshdental.co.uk,Bolton,North West,2013-03-28T00:00:00Z,https://www.cqc.org.uk/location/1-187548040,,Services for everyone,Dentist,Freshdental Practice Limited
